algorithm_name,env_n,size,best_solution,H,states,time
GA,19,10,"[5, 3, 1, 6, 8, 2, 0, 7, 9, 4]",0,1565,0.038211
GA,20,10,"[3, 1, 4, 7, 9, 2, 5, 8, 6, 0]",0,915,0.022854
GA,21,10,"[3, 7, 0, 4, 9, 1, 5, 2, 8, 6]",0,460,0.010574
GA,22,10,"[3, 5, 8, 4, 9, 0, 6, 1, 7, 2]",0,2475,0.061194
GA,23,10,"[7, 3, 1, 6, 9, 5, 0, 8, 4, 2]",0,330,0.009605
GA,24,10,"[4, 8, 0, 3, 1, 7, 9, 6, 2, 5]",0,655,0.017110
GA,25,10,"[4, 8, 1, 9, 6, 3, 0, 7, 5, 2]",0,2085,0.054228
GA,26,10,"[7, 5, 1, 8, 0, 3, 6, 9, 2, 4]",0,720,0.017774
GA,27,10,"[5, 8, 2, 4, 0, 7, 9, 6, 3, 1]",1,2995,0.076873
GA,28,10,"[3, 6, 9, 2, 4, 7, 0, 8, 1, 5]",0,590,0.014021
GA,29,10,"[9, 3, 5, 8, 2, 0, 7, 1, 4, 6]",0,1175,0.028892
GA,30,10,"[3, 7, 4, 2, 0, 9, 6, 8, 5, 1]",0,655,0.016513
random,1,4,"[2, 0, 3, 1]",0,21,0.000123
random,2,4,"[1, 3, 0, 2]",0,194,0.001048
random,3,4,"[2, 0, 3, 1]",0,27,0.000156
random,4,4,"[1, 3, 0, 2]",0,124,0.000863
random,5,4,"[2, 0, 3, 1]",0,146,0.000946
random,6,4,"[1, 3, 0, 2]",0,414,0.002356
random,7,4,"[1, 3, 0, 2]",0,182,0.001068
random,8,4,"[1, 3, 0, 2]",0,120,0.000744
random,9,4,"[1, 3, 0, 2]",0,155,0.000855
random,10,4,"[1, 3, 0, 2]",0,213,0.001137
random,11,4,"[1, 3, 0, 2]",0,151,0.000801
random,12,4,"[1, 3, 0, 2]",0,99,0.000571
random,13,4,"[2, 0, 3, 1]",0,139,0.000882
random,14,4,"[1, 3, 0, 2]",0,63,0.000432
random,15,4,"[2, 0, 3, 1]",0,178,0.001023
random,16,4,"[1, 3, 0, 2]",0,91,0.000518
random,17,4,"[1, 3, 0, 2]",0,159,0.000822
random,18,4,"[1, 3, 0, 2]",0,607,0.003333
random,19,4,"[1, 3, 0, 2]",0,61,0.000397
random,20,4,"[1, 3, 0, 2]",0,133,0.000711
random,21,4,"[1, 3, 0, 2]",0,29,0.000154
random,22,4,"[1, 3, 0, 2]",0,9,0.000051
random,23,4,"[2, 0, 3, 1]",0,43,0.000245
random,24,4,"[2, 0, 3, 1]",0,584,0.003696
random,25,4,"[1, 3, 0, 2]",0,425,0.002276
random,26,4,"[1, 3, 0, 2]",0,47,0.000245
random,27,4,"[1, 3, 0, 2]",0,16,0.000086
random,28,4,"[1, 3, 0, 2]",0,43,0.000223
random,29,4,"[2, 0, 3, 1]",0,11,0.000059
random,30,4,"[2, 0, 3, 1]",0,54,0.000347
random,1,8,"[6, 2, 5, 1, 4, 0, 3, 3]",1,3000,0.040099
random,2,8,"[0, 7, 4, 2, 0, 6, 3, 5]",1,3000,0.040096
random,3,8,"[6, 3, 5, 2, 5, 0, 4, 1]",2,3000,0.039164
random,4,8,"[2, 7, 5, 3, 1, 0, 4, 6]",1,3000,0.038376
random,5,8,"[7, 5, 3, 0, 4, 7, 2, 6]",2,3000,0.038755
random,6,8,"[4, 6, 0, 5, 7, 1, 6, 3]",2,3000,0.038228
random,7,8,"[2, 6, 1, 4, 7, 0, 3, 5]",1,3000,0.038310
random,8,8,"[3, 1, 4, 2, 0, 5, 7, 1]",2,3000,0.038850
random,9,8,"[7, 5, 3, 6, 0, 7, 4, 4]",2,3000,0.038354
random,10,8,"[7, 5, 0, 5, 1, 4, 6, 3]",1,3000,0.037933
random,11,8,"[6, 1, 3, 0, 6, 4, 2, 5]",1,3000,0.038288
random,12,8,"[2, 5, 3, 6, 0, 2, 4, 7]",1,3000,0.038417
random,13,8,"[3, 6, 2, 1, 5, 7, 2, 4]",2,3000,0.037959
random,14,8,"[4, 2, 0, 3, 1, 7, 5, 2]",1,3000,0.038789
random,15,8,"[6, 1, 7, 1, 3, 0, 2, 5]",2,3000,0.039461
random,16,8,"[3, 0, 6, 4, 1, 7, 0, 2]",1,3000,0.037429
random,17,8,"[1, 6, 0, 5, 7, 2, 0, 3]",2,3000,0.034934
random,18,8,"[7, 0, 2, 5, 5, 1, 4, 4]",2,3000,0.032739
random,19,8,"[0, 5, 3, 0, 7, 4, 2, 6]",2,3000,0.031711
random,20,8,"[2, 6, 1, 7, 4, 3, 0, 5]",2,3000,0.032456
random,21,8,"[4, 7, 3, 6, 4, 2, 0, 5]",2,3000,0.031762
random,22,8,"[2, 5, 3, 6, 0, 6, 4, 1]",2,3000,0.032650
random,23,8,"[6, 0, 2, 5, 1, 4, 7, 5]",2,3000,0.031736
random,24,8,"[1, 5, 2, 0, 7, 3, 4, 6]",1,3000,0.031677
random,25,8,"[5, 5, 0, 6, 3, 6, 2, 7]",2,3000,0.031620
random,26,8,"[1, 5, 0, 2, 7, 4, 6, 3]",1,3000,0.031732
random,27,8,"[3, 0, 0, 4, 6, 1, 6, 2]",2,3000,0.031714
random,28,8,"[0, 3, 6, 2, 7, 1, 4, 0]",1,3000,0.031640
